iters,timesteps,total_episode,eval_score,train_score,Robot_0_score,Robot_1_score,Robot_2_score,Robot_3_score,Robot_4_score
430,4413440,8825,3.122180859791251,2.9532817995886473,1.3850130255457676,5.034226277225349,2.7863961421605357,6.007668745107231,0.3976001089173707
440,4515840,9030,3.1269020251282535,3.047915791817429,1.6062621092168592,4.991697757689416,2.8196889642632756,5.813685597724613,0.4031756967471018
450,4618240,9235,2.996590003746872,3.0278964427378456,0.5990924500150099,5.143053859217975,2.87435004115398,5.963794577314526,0.4026590910328705
460,4720640,9440,3.009770190613111,2.932428270697508,0.6097891407607682,5.134510143385753,2.9073363614818737,5.998954957665861,0.3982603497712985
470,4823040,9645,2.9387340407869984,3.0921136211421985,0.5983516853755052,5.114846957979238,2.869156399460133,5.71527524226956,0.3960399188505575
480,4925440,9850,2.992950346196528,3.1862437024924186,0.5951576971458433,5.240687204783811,2.8762302829806483,5.847397044084041,0.40527950198829527
490,5027840,10055,3.2532668196742116,3.0293612398485803,2.01101941706839,5.128000472205218,2.863496607057173,5.8587099009437775,0.4051077010964999
500,5130240,10260,3.304562672851522,3.214603871893501,2.003389647063133,5.182430279160264,2.874136477367392,6.045412750504194,0.41744421016262506
510,5232640,10465,3.2575358643208197,3.140291764243761,1.9325230860012321,5.146902482332861,2.879571306357961,5.901272972204487,0.42740947470755714
520,5335040,10670,2.957082569672008,2.9377515097799183,0.7198143644780935,5.134298779620423,2.873234044321248,5.649562179901087,0.4085034800391904
530,5437440,10870,2.9637611780531308,3.0988427774504097,0.6912435330914185,5.086683375979257,2.8797853097743107,5.746477363544884,0.41461630787578446
540,5539840,11075,3.310718350774098,3.060790582554983,2.3293884099726223,5.039833330363127,2.8947440488139673,5.87915217405047,0.41047379067030226
550,5642240,11280,3.3755434628932663,3.248428344831617,2.4072324073067843,5.115930750706603,2.95179014434876,5.958402926116641,0.4443610859875435
560,5744640,11485,3.343294344752844,3.25018843464954,2.41264680431937,5.169915338455014,2.923852375773742,5.788588806930692,0.42146839828540034
570,5847040,11690,3.4270010543246143,3.2406061315719072,2.5065853639275604,5.190233379752678,2.9607507421193504,6.030539718609894,0.44689606721358816
580,5949440,11895,3.4365130147919807,3.354465674539726,2.433864788656205,5.122416084005401,2.9962607298191073,6.186363182580662,0.4436602888985289
590,6051840,12100,3.2153516751893534,3.3527892415785154,1.2629255400898103,5.16867955605533,3.0042658312764816,6.188752693640784,0.45213475488436133
600,6154240,12305,3.507829593278571,3.417158740707785,2.58174978866733,5.192822224539906,3.088803299347012,6.225572560660672,0.4502000931779319
610,6256640,12510,3.510337069437636,3.359056957821552,2.917273729435118,5.047758895592723,2.9999534724018653,6.119571458148052,0.4671277916104231
620,6359040,12715,3.5234187171230196,3.4747888494483674,2.802265900691843,5.077759682448621,3.0546678563019385,6.235102715353857,0.44729743081883827
630,6461440,12920,3.570806246380149,3.49818917135664,2.9067746491666875,5.20223638120512,3.0369172900874193,6.253069343346148,0.4550335680953697
640,6563840,13125,3.5717698720463273,3.512895800284182,2.807752500832169,5.292426262504278,3.044565018402424,6.255405387086097,0.4587001914066711
650,6666240,13330,3.6197928768798833,3.5423330690907875,3.15809319497207,5.243124119289133,3.0226920858020363,6.226946755596311,0.4481082287398664
660,6768640,13535,3.6173078945637953,3.565944675550509,3.0838535012692203,5.256092024079583,2.9928591348655216,6.278344721060009,0.47539009154464446
670,6871040,13740,3.66496852043719,3.4895003912490465,3.203946415272252,5.277201465212915,2.989943296384136,6.39869745550076,0.4550539698158866
680,6973440,13945,3.32659191663101,3.4950956630361114,1.358989664974344,5.400306848483267,2.996946301260502,6.40928285826599,0.4674339101709472
690,7075840,14150,3.551786749385124,3.5919115186740163,2.964848880666918,5.283695113641099,3.0025038931235044,6.027647108168894,0.4802387513252036
700,7178240,14355,3.6940376902554837,3.502187400606419,3.3616344198954793,5.380916917819286,3.049309068236854,6.155246244407549,0.5230818009182531
710,7280640,14560,3.6497836561128807,3.620238250426735,3.149098998331251,5.307208784976884,3.049219550840662,6.227636635835656,0.5157543105799526
720,7383040,14765,3.7190408737523937,3.5609483887814344,3.245488705325783,5.335671439009687,3.064348753379511,6.421852407419618,0.52784306362737
730,7485440,14970,3.727002225322187,3.578102230863325,3.098627261949677,5.419112617543591,3.0753951604737177,6.420679253057531,0.6211968335864164
