iters,timesteps,total_episode,eval_score,train_score,Robot_0_score,Robot_1_score,Robot_2_score,Robot_3_score,Robot_4_score
600,6154240,12306,3.846139705343764,3.5101775733660086,3.9040019634361895,0.12726246089638293,7.47266529808995,4.899388902974891,2.8273799013214034
610,6256640,12511,3.7502663664849747,3.473172715676893,3.7247954544321757,0.12627288674856216,7.341185439187651,4.863520195705387,2.6955578563510976
620,6359040,12716,3.755498631512758,3.5253068263887757,3.8614344944767236,0.12597297449284556,7.243930271516896,4.660733422036718,2.8854219950406064
630,6461440,12921,3.809587333175384,3.560617997393119,3.8493699331793527,0.12581623185066398,7.3107568549127935,4.931577750953272,2.8304158949808373
640,6563840,13127,3.8674585176953578,3.536326111219284,3.806224479845617,0.13025508250474463,7.442675271511868,5.032876705244018,2.9252610493705435
650,6666240,13332,3.8263828060524325,3.5929758355461416,3.7083595455888014,0.12942043157877087,7.392933365143078,4.943322576707236,2.9578781112442774
660,6768640,13537,3.8241520825324207,3.6696230302405093,3.8074241068555934,0.1295361354677452,7.5075026617414595,4.646547955945646,3.029749552651661
670,6871040,13742,3.861133892034357,3.571965782973147,3.867353922615757,0.12897827682961682,7.5252568242850675,4.744963930466927,3.039116505974418
680,6973440,13947,3.83310186916988,3.661675852432573,3.951937603883836,0.12759889507486516,7.419155695099423,4.590567637856886,3.076249513934391
690,7075840,14152,3.928768485978334,3.688149743919179,3.987259512665872,0.13360634575551456,7.426764277306232,4.915912023440221,3.1803002707238304
700,7178240,14357,3.922533294919231,3.655367994936809,3.9762570307051366,0.1327942265355451,7.459259592313973,4.80278497316254,3.241570651878961
710,7280640,14562,3.9021538884801528,3.746914973001006,3.9419262212655757,0.12892071665842142,7.35163100223695,4.924379145723561,3.163912356516255
720,7383040,14767,3.976849822960065,3.678082886135735,4.029227130071853,0.13142197848966383,7.461204588696431,5.041875004981596,3.2205204125607834
730,7485440,14972,3.9240436755079386,3.666608648120716,3.949142391648589,0.13164782846768414,7.4655285526292925,4.811555175224755,3.2623444295693753
740,7587840,15176,3.9522126047027313,3.5803567446523816,3.9499889140765454,0.1296332613675059,7.516893871236023,4.922241847476954,3.2423051293566316
750,7690240,15381,3.9549992017617477,3.7765048587238956,3.9229605477988185,0.13104504802961908,7.425862249550247,5.045770670628742,3.2493574928013125
760,7792640,15586,3.945027289801525,3.741746210888489,3.9077005036404167,0.13290284700547564,7.494906117582808,4.952352169620656,3.23727481115827
770,7895040,15791,3.9924173668734513,3.72062066295275,4.0358040239410355,0.1323910699869909,7.537686687595752,4.988557984712823,3.2676470681306546
780,7997440,15992,3.9584522451523254,3.800042537051285,4.012570758914596,0.13473844012359792,7.386791040932648,5.006846873504649,3.251314112286137
790,8099840,16197,4.003805345192284,3.848155761202065,4.0566541349718115,0.13214314669337515,7.478232480092041,4.978286804567384,3.3737101596368104
800,8202240,16402,3.957470968543673,3.699518828026849,4.0011918527086285,0.1314740780831732,7.475065249007157,4.808536767452141,3.371086895467265
810,8304640,16607,4.040770121529218,3.716693421644204,4.111737099904174,0.13227102070364358,7.570886486504145,5.025891735564029,3.3630642649700997
820,8407040,16812,4.013892953048215,3.7737627169690926,4.106437313119173,0.13423558373070543,7.647217535414479,4.766899938726169,3.4146743942505453
830,8509440,17017,3.988189464990034,3.7286079778492245,4.180765514359085,0.13449387965773926,7.622932306706533,4.690061182247479,3.3126944419793327
840,8611840,17222,3.969302081482533,3.7073694121370364,4.227647828983324,0.1390763986970999,7.480459546667992,4.626300238051883,3.373026395012368
850,8714240,17427,3.8824404295807917,3.7310575529208223,4.159725194135298,0.13213409151105754,7.530540599342521,4.256908745923611,3.3328935169914726
860,8816640,17632,4.050186317413802,3.7992803351958266,4.156788948811028,0.13206672628830526,7.47546985660119,4.8916888881640785,3.594917167204406
870,8919040,17837,3.988782311472734,3.8322793535023103,4.037625868654236,0.12866457439660195,7.482471765336594,4.812266898023682,3.4828824509525536
880,9021440,18042,4.05610879016736,3.7873601063417994,4.118659869297851,0.13225870813754773,7.466584125863475,5.070218119535805,3.492823128002122
890,9123840,18247,4.130577852010458,3.8656669440357754,4.105128369007616,0.13319373150298947,7.659029513928604,5.172816137337259,3.582721508275826
900,9226240,18452,4.090329531218671,3.858881539381143,4.086239599747233,0.14132494388944933,7.672761694114023,4.93911676071844,3.612204657624212
910,9328640,18657,4.164119804936811,3.87147106745732,4.181817429279667,0.1348521343977906,7.581387134654204,5.2181820707754385,3.7043602555769546
920,9431040,18862,4.134337971677199,3.9139053963477837,4.220673701381206,0.1322790102513012,7.450198279329534,5.184654541920205,3.683884325503744
930,9533440,19067,4.173688655762249,3.9639864613415567,4.196932431396596,0.14305923822842906,7.6996690712373415,4.977452524357503,3.851330013591376
940,9635840,19272,4.110679239350245,3.8524500288371137,4.09264108781,0.13469687246998926,7.518126121568395,4.954396514293597,3.853535600609243
950,9738240,19477,4.242253319086317,3.8898771635455835,4.066111291666335,0.13246588656137176,7.799548756644366,5.284557659728456,3.9285830008310585
960,9840640,19682,4.237839454584109,3.909610193935367,4.173320714414013,0.14229134249840597,7.571167594775645,5.375065514079321,3.9273521071531627
970,9943040,19887,4.137768447398485,3.924347475757794,4.116424103417278,0.14908990703813005,7.681784815857922,4.788088999039721,3.9534544116393726
980,10045440,20092,4.196221494526389,3.924964032539608,4.189258196829508,0.13318889716083654,7.755904227907784,4.908096538913782,3.994659611820037
990,10147840,20296,4.275357969295234,4.014052656395672,4.351532785653286,0.1359518877482726,7.731759747977857,5.138894464189751,4.018650960907004
1000,10250240,20501,4.24531695566529,3.929329279177325,4.274457366536223,0.14555892459139286,7.684989527001244,5.019354533304281,4.102224426893309
